,x,y,sample,timepoint
0,-17.3883,333.067,true,0
1,-16.3532,333.718,true,1
2,-15.3303,334.361,true,2
3,-14.3197,334.997,true,3
4,-13.3091,335.632,true,4
5,-12.3478,336.237,true,5
6,-11.4112,336.826,true,6
7,-10.4499,337.431,true,7
8,-9.47627,338.043,true,8
9,-8.55202,338.624,true,9
10,-7.68939,339.167,true,10
11,-6.85143,339.694,true,11
12,-6.02572,340.213,true,12
13,-5.21229,340.725,true,13
14,-4.44813,341.206,true,14
15,-3.59765,341.74,true,15
16,-2.75947,342.267,true,16
17,-1.95832,342.771,true,17
18,-1.18258,343.257,true,18
19,-0.495723,343.688,true,19
20,0.23603,344.147,true,20
21,0.587918,344.363,true,21
22,0.729095,344.445,true,22
23,0.897585,344.534,true,23
24,1.03443,344.598,true,24
25,1.13638,344.639,true,25
26,1.24351,344.673,true,26
27,1.35119,344.694,true,27
28,1.45431,344.695,true,28
29,1.52305,344.679,true,29
30,1.5841,344.645,true,30
31,1.63531,344.592,true,31
32,1.67939,344.514,true,32
33,1.70811,344.443,true,33
34,1.73754,344.352,true,34
35,1.76358,344.249,true,35
36,1.78878,344.116,true,36
37,1.8065,343.979,true,37
38,1.81538,343.875,true,38
39,1.81944,343.8,true,39
40,1.82242,343.636,true,40
41,1.81952,343.501,true,41
42,1.80853,343.311,true,42
43,1.79146,343.127,true,43
44,1.76043,342.881,true,44
45,1.71795,342.611,true,45
46,1.65987,342.298,true,46
47,1.5797,341.917,true,47
48,1.47696,341.474,true,48
49,1.35062,340.966,true,49
50,1.23858,340.533,true,50
51,1.06933,339.891,true,51
52,0.891245,339.217,true,52
53,0.706224,338.498,true,53
54,0.520377,337.735,true,54
55,0.340215,336.911,true,55
56,0.170857,336.031,true,56
57,0.0235131,335.143,true,57
58,-0.0937771,334.217,true,58
59,-0.184015,333.228,true,59
60,-0.235103,332.205,true,60
61,-0.249563,331.163,true,61
62,-0.228414,329.89,true,62
63,-0.188905,328.915,true,63
64,-0.135957,327.926,true,64
65,-0.0763653,326.935,true,65
66,-0.014533,325.929,true,66
67,0.0438471,324.922,true,67
68,0.095648,323.899,true,68
69,0.136594,322.905,true,69
70,0.166992,321.882,true,70
71,0.185017,320.887,true,71
72,0.192531,319.847,true,72
73,0.190135,318.78,true,73
74,0.183133,318.044,true,74
75,0.166877,316.947,true,75
